Breed,Weight,Height,Price,Lifespan,GoodWithKids,Trainability,Intelligence,Adaptability,CatFriendly,DogFriendly,Shedding,Hypoallergenic,Watchdog
"Dachshund/Jack Russell Terrier",24,11,800,15,2,3,4,5,2,1,2,False,5
"Dachshund/Miniature Pinscher",21,18,600,15,2,3,4,4,3,2,1,False,4
"Dachshund/Miniature Poodle",21,34,1050,15,2,3,4,5,3,3,1,False,5
"Dachshund/Parson Russell Terrier",23,23,550,15,2,3,4,5,2,1,2,False,5
"Dachshund/Pug",24,18,500,15,3,2,4,5,4,3,2,False,4
"Dachshund/Whippet",31,32,900,15,2,2,3,4,2,2,1,False,3
"Dachshund/Yorkshire Terrier",20,9,650,15,1,2,4,5,3,2,2,False,4
"Dalmatian/Labrador Retriever",71,24,900,13,5,5,5,5,3,5,4,False,3
"Doberman Pinsch/Australian Cattle Dog",67,17,800,14,4,5,5,4,3,2,3,False,5
"Doberman Pinsch/German Shepherd",93,20,1250,12,4,5,5,5,3,2,4,False,5
"Doberman Pinsch/Pit Bull",82,18,850,14,3,3,4,5,2,1,2,False,5
"Dogo Argentino",50,25,800,14,3,3,4,4,3,3,3,False,3
"Dogo Argentino/Labrador Retriever",79,25,1000,13,5,5,5,5,4,5,3,False,3
"Dutch Shepherd",66,24,1500,14,3,3,3,3,3,3,3,False,3
"English Foxhound",75,25,950,13,5,4,3,4,2,5,3,False,1
"English Setter Mix",70,26,400,12,5,3,3,3,4,4,3,False,3
"English Shepherd Mix",61,23,950,14,3,3,3,3,3,3,3,False,3
"Finnish Spitz",28,20,700,14,4,3,4,3,4,3,4,False,3
"Flat Coat Retriever/German Shepherd",79,24,1250,10,4,5,5,5,3,3,4,False,5
"French Bulldog/Chihuahua Shorthair",17,11,1550,15,1,3,3,5,3,2,1,False,3
"German Shepherd/Akita",93,26,1250,12,4,4,4,5,3,2,5,False,5
"German Shepherd/Anatol Shepherd",104,28,1200,12,4,3,4,3,2,1,4,False,5
"German Shepherd/Collie Smooth",81,43,1250,12,5,5,4,4,4,3,5,False,5
"German Shepherd/Great Dane",108,29,1350,11,4,4,4,4,3,2,4,False,5
"German Shepherd/Great Pyrenees",103,29,1200,11,4,3,4,4,3,2,5,False,5
"German Shepherd/Pembroke Welsh Corgi",57,19,1050,12,5,5,4,5,4,2,5,False,5
"German Wirehaired Pointer",70,27,800,14,4,5,5,5,1,5,1,False,5
"Golden Retriever/Beagle",44,19,1400,14,5,3,4,5,3,5,3,False,2
"Golden Retriever/Dachshund",47,16,1300,14,3,3,4,5,3,3,2,False,4
"Golden Retriever/German Shepherd",75,24,1750,11,5,5,5,5,3,3,4,False,4
"Great Dane/Mastiff",149,34,1350,12,4,3,3,4,4,3,3,False,5
"Great Dane/Pit Bull",97,27,950,13,2,2,3,4,2,2,2,False,5
"Great Pyrenees/Australian Shepherd",93,27,750,13,4,3,4,4,3,3,4,False,5
"Great Pyrenees/Pit Bull",91,27,800,13,3,2,3,4,2,2,3,False,5
"Great Pyrenees/Pointer",96,30,575,13,4,2,4,4,2,4,4,False,5
"Great Pyrenees/Rottweiler",123,29,1450,11,3,2,4,3,3,2,4,False,5
"Great Pyrenees/Standard Poodle",64,46,1200,13,3,3,4,4,4,3,3,False,5
"Greyhound/Labrador Retriever",83,26,975,12,5,4,4,5,3,5,3,False,2
"Harrier/Catahoula",73,22,475,14,4,3,3,3,2,3,3,False,3
"Ibizan Hound Mix",63,26,1400,14,3,2,3,4,2,3,3,False,4
"Irish Terrier/Labrador Retriever",53,35,850,13,4,3,4,5,3,3,2,False,4
"Italian Greyhound/Chihuahua Shorthair",10,12,750,16,1,2,3,5,4,3,1,False,4
"Jack Russell Terrier/Border Collie",30,18,850,16,4,5,5,5,2,2,3,False,5
"Jack Russell Terrier/Cairn Terrier",17,13,1000,15,3,4,4,4,2,2,3,False,5
"Jack Russell Terrier/Dachshund Wirehair",24,11,800,15,2,3,4,5,2,1,2,False,5
"Jack Russell Terrier/Pug",17,21,700,15,3,4,4,5,3,3,3,False,4
"Jack Russell Terrier/Welsh Terrier",19,25,900,15,3,4,4,5,1,1,2,False,5
"Labrador Retriever/American Bulldog",99,48,950,13,4,4,4,4,3,4,3,False,3
"Labrador Retriever/American Pit Bull Terrier",72,23,850,13,3,3,4,5,2,3,2,False,4
"Labrador Retriever/Border Terrier",47,20,1000,14,5,5,4,5,3,3,2,False,4
"Labrador Retriever/Cocker Spaniel",54,20,900,14,5,4,4,5,3,5,3,False,3
"Labrador Retriever/Collie Rough",71,40,800,14,5,5,5,4,4,5,4,False,4
"Labrador Retriever/Labrador Retriever",79,25,1000,13,5,5,5,5,4,5,3,False,3
"Labrador Retriever/Mastiff",124,30,1250,12,5,4,4,5,4,4,3,False,4
"Labrador Retriever/Newfoundland",116,49,1500,11,5,4,4,4,4,4,4,False,4
"Labrador Retriever/Pembroke Welsh Corgi",52,18,800,13,5,5,4,5,4,4,4,False,4
"Lhasa Apso/Cairn Terrier",16,20,800,14,4,3,3,4,4,4,3,False,4
"Lhasa Apso/Miniature Schnauzer",17,21,800,14,4,4,4,5,4,4,2,False,4
"Maltese/Jack Russell Terrier",12,12,900,15,2,4,4,5,3,3,2,False,4
"Maltese/Shih Tzu",12,19,1000,15,1,3,3,5,5,5,1,True,4
"Manchester Terrier/Australian Kelpie",34,31,625,15,3,4,4,5,3,3,3,False,5
"Mexican Hairless Mix",18,14,800,15,3,3,3,5,5,5,1,True,5
"Miniature Poodle/Bichon Frise",15,36,1050,15,2,4,4,5,4,4,1,True,4
"Miniature Poodle/Chihuahua Shorthair",8,35,1150,16,1,4,4,5,4,3,1,False,4
"Miniature Schnauzer/Cairn Terrier",18,13,1000,15,3,4,4,4,3,3,2,True,5
"Neapolitan Mastiff Mix",150,70,2000,10,3,3,3,2,3,1,3,False,5
"Newfoundland/Great Pyrenees",136,53,1450,11,4,2,4,4,4,3,5,False,5
"Norfolk Terrier",12,10,2500,15,4,5,4,5,4,4,4,True,5
"Nova Scotia Duck Tolling Retriever",50,25,800,14,3,3,4,4,3,3,3,False,3
"Old English Sheepdog",79,56,1300,12,5,3,4,3,3,3,5,False,5
"Pekingese/Chihuahua Shorthair",10,9,700,16,1,2,3,5,5,3,2,False,4
"Pekingese/Jack Russell Terrier",15,11,800,15,2,3,4,5,3,2,3,False,4
"Pekingese/Miniature Poodle",12,34,1050,15,1,3,4,5,4,3,2,False,4
"Pekingese/Pug",15,18,500,15,2,2,3,5,5,4,3,False,4
"Pharaoh Hound",59,24,1300,14,4,2,4,5,2,4,1,False,1
"Pit Bull/Beagle",45,19,750,14,3,2,3,5,2,3,2,False,3
"Pit Bull/Blue Lacy",55,21,825,14,2,2,3,4,2,2,2,False,4
"Pit Bull/Bulldog",57,19,1350,13,3,2,3,5,3,3,2,False,5
"Pit Bull/Dachshund",48,15,650,14,2,2,3,5,2,1,1,False,5
"Pit Bull/Dalmatian",64,22,750,13,3,3,4,5,2,3,3,False,4
"Pit Bull/English Bulldog",72,41,1600,14,2,2,3,4,2,2,2,False,4
"Pit Bull/Flat Coat Retriever",67,22,850,12,3,3,4,5,2,2,2,False,5
"Pit Bull/Pit Bull",65,22,700,14,2,2,3,5,1,1,1,False,5
"Pit Bull/Pug",41,25,550,14,3,2,3,5,3,3,2,False,4
"Pit Bull/Rottweiler",97,24,1350,12,2,2,4,4,2,1,2,False,5
"Pit Bull/Siberian Husky",62,22,850,14,3,1,3,5,1,3,3,False,3
"Plott Hound/Australian Cattle Dog",45,39,450,14,4,4,4,3,2,3,3,False,5
"Plott Hound/Boxer",57,41,750,13,3,3,4,3,2,2,3,False,5
"Plott Hound/Rhod Ridgeback",70,62,750,13,4,3,4,3,2,2,2,False,3
"Pointer/Collie Smooth",75,44,625,15,5,4,4,4,3,5,4,False,5
"Pointer/Harrier",70,24,325,15,5,3,3,4,1,5,3,False,3
"Pointer/Jack Russell Terrier",46,21,625,15,4,4,4,5,1,3,3,False,5
"Pomeranian/Chihuahua Shorthair",6,11,800,17,1,3,3,5,5,3,1,False,3
"Port Water Dog Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Presa Canario",50,25,800,14,3,3,4,4,3,3,3,False,3
"Pug/Border Terrier",16,22,700,15,4,4,4,5,3,3,2,False,4
"Pug/Italian Greyhound",16,21,550,15,2,2,3,5,4,4,2,False,4
"Queensland Heeler/Chihuahua Shorthair",20,15,700,16,3,4,4,4,4,3,2,False,4
"Queensland Heeler/Pointer",55,24,425,15,5,4,4,4,2,4,3,False,5
"Rat Terrier/Australian Cattle Dog",30,19,550,16,5,5,4,4,3,3,3,False,5
"Rat Terrier/Dachshund",28,13,550,16,3,3,4,5,3,3,2,False,5
"Redbone Hound",68,68,800,12,5,3,3,5,2,5,1,False,1
"Rhod Ridgeback/Pit Bull",75,44,950,13,3,3,4,4,1,1,1,False,3
"Saluki",60,28,800,14,3,2,3,5,2,3,2,False,1
"Shetland Sheepdog/Chihuahua Longhair",16,13,750,15,2,4,4,5,5,3,2,False,4
"Shiba Inu",17,43,1000,15,3,2,3,4,2,3,3,False,5
"Shih Tzu/Cocker Spaniel",23,22,1000,15,3,3,3,5,4,5,2,False,3
"Shih Tzu/Dachshund",24,18,900,15,2,2,3,5,4,3,1,False,4
"Shih Tzu/Maltese",12,19,1000,15,1,3,3,5,5,5,1,True,4
"Shih Tzu/Yorkshire Terrier",12,18,950,15,1,3,3,5,4,3,2,True,4
"Soft Coated Wheaten Terrier/Labrador Retriever",59,36,950,14,4,4,4,5,3,4,2,False,4
"Staffordshire/Boston Terrier",30,29,1300,14,4,2,3,4,3,3,2,False,3
"Staffordshire/Bull Terrier",60,48,1650,14,3,2,4,3,1,2,3,False,4
"Staffordshire/English Bulldog",57,50,2150,14,3,2,3,3,2,2,3,False,3
"Staffordshire/Labrador Retriever",57,33,1400,13,4,3,4,4,2,3,3,False,3
"Tibetan Terrier/Lhasa Apso",19,22,1100,14,4,3,3,5,4,4,2,False,3
"Treeing Walker Coonhound/Labrador Retriever",73,47,800,13,4,3,4,4,2,4,3,False,2
"Unknown Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Vizsla/Golden Retriever",63,43,1600,14,4,5,5,5,3,4,2,False,3
"Weimaraner/Pit Bull",71,42,750,13,3,3,4,5,3,3,2,False,4
"West Highland/Cairn Terrier",18,14,1100,15,4,3,4,3,3,3,2,True,5
"Whippet/Australian Kelpie",38,38,900,14,3,4,3,4,2,3,2,False,3
"Wire Hair Fox Terrier",21,16,800,14,5,3,3,5,1,2,3,True,5
"Yorkshire Terrier/Norfolk Terrier",10,9,1600,15,2,4,4,5,4,3,3,True,4
"American Bulldog/Boxer",89,47,1050,13,3,3,3,3,3,2,3,False,4
"Australian Kelpie/Beagle",35,18,700,14,4,3,4,5,3,4,3,False,3
"Australian Kelpie/Miniature Pinscher",28,24,600,14,3,4,4,4,3,2,2,False,4
"Bearded Collie",59,21,1500,15,4,5,3,5,4,4,4,False,5
"Border Collie/Jack Russell Terrier",30,18,850,16,4,5,5,5,2,2,3,False,5
"Chihuahua Shorthair/Basenji",16,13,1000,17,1,2,4,4,3,2,1,False,4
"Chihuahua Shorthair/Swedish Vallhund",18,22,900,16,3,4,3,5,5,3,3,False,4
"Coton De Tulear Mix",13,12,1200,16,5,5,5,5,5,5,1,True,3
"Jack Russell Terrier/Yorkshire Terrier",12,11,850,16,2,4,4,5,2,1,3,False,4
"Kuvasz Mix",114,30,1500,12,3,3,3,3,3,2,5,False,5
"Labrador Retriever/Bloodhound",89,25,1100,12,5,4,4,4,4,5,4,False,2
"Labrador Retriever/German Shorthair Pointer",69,25,800,13,4,5,4,5,2,4,3,False,3
"Mastiff",169,36,1500,12,5,3,3,5,5,3,3,False,5
"Miniature Poodle/Cairn Terrier",13,36,1250,15,3,4,4,4,3,3,2,True,5
"Picardy Sheepdog",50,25,800,14,3,3,4,4,3,3,3,False,3
"Rottweiler/Doberman Pinsch",114,20,1500,12,3,4,5,4,3,1,3,False,5
"Toy Poodle/Miniature Schnauzer",15,37,1250,15,2,5,5,5,3,3,1,True,5
"Afghan Hound Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Airedale Terrier",65,23,750,12,4,4,4,5,1,1,3,True,5
"Airedale Terrier/Labrador Retriever",72,24,875,12,4,4,4,5,2,3,3,False,4
"Airedale Terrier/Miniature Schnauzer",42,18,875,13,3,4,4,5,2,2,2,True,5
"Akita/Australian Cattle Dog",67,23,800,15,4,4,4,4,3,3,4,False,5
"Akita/Chow Chow",84,24,1100,15,2,2,3,3,2,2,5,False,4
"Akita/Labrador Retriever",89,25,1000,14,4,4,4,5,3,4,4,False,4
"Akita/Pit Bull",82,24,850,14,2,2,3,5,2,2,3,False,5
"Alaskan Husky/Border Collie",67,23,700,17,4,4,4,5,2,4,3,False,3
"Alaskan Husky/German Shepherd",89,25,1100,14,4,4,4,5,2,3,4,False,3
"Alaskan Malamute/Akita",91,25,1250,15,3,2,3,4,2,2,5,False,5
"Alaskan Malamute/Australian Kelpie",64,22,1050,15,3,3,3,4,2,2,4,False,5
"American Bulldog/American Staffordshire Terrier",104,44,900,13,2,2,3,4,2,2,2,False,4
"American Bulldog/Chinese Sharpei",86,61,1200,12,2,3,3,3,3,2,2,False,3
"American Bulldog/Great Pyrenees",119,51,900,13,3,2,3,3,3,3,4,False,4
"American Bulldog/Schnauzer Giant",97,48,950,14,3,3,3,3,2,2,3,False,4
"American Eskimo/Australian Shepherd",39,26,675,15,3,5,4,5,3,3,4,False,5
"American Foxhound",63,24,550,12,5,3,3,5,2,5,1,False,1
"American Foxhound/Labrador Retriever",71,24,775,12,5,4,4,5,3,5,2,False,2
"American Foxhound/Pointer",69,26,400,13,5,3,3,5,1,5,2,False,3
"American Pit Bull Terrier/American Bulldog",92,46,800,14,2,2,3,4,2,2,2,False,4
"American Pit Bull Terrier/American Pit Bull Terrier",65,22,700,14,2,2,3,5,1,1,1,False,5
"American Pit Bull Terrier/Chinese Sharpei",58,36,1100,12,1,2,3,4,2,1,1,False,4
"American Pit Bull Terrier/Pointer",70,25,475,14,3,2,3,5,1,3,2,False,5
"American Staffordshire Terrier/French Bulldog",58,15,1600,12,2,2,3,5,1,1,1,False,3
"American Staffordshire Terrier/Plott Hound",71,38,600,13,3,2,3,4,1,2,2,False,5
"Anatol Shepherd/Australian Shepherd",94,27,750,15,4,3,3,3,2,2,3,False,5
"Anatol Shepherd/Collie Rough",92,43,750,15,4,3,4,3,3,3,4,False,5
"Anatol Shepherd/Siberian Husky",90,27,950,15,4,1,3,3,1,3,4,False,3
"Australian Cattle Dog/American Foxhound",49,22,575,13,5,4,4,4,2,4,2,False,3
"Australian Cattle Dog/American Staffordshire Terrier",61,19,750,13,3,3,4,4,2,2,2,False,5
"Australian Cattle Dog/Belgian Malinois",50,23,650,14,4,5,5,4,4,3,3,False,5
"Australian Cattle Dog/Collie Rough",49,38,600,15,5,5,5,3,4,4,4,False,5
"Australian Cattle Dog/Collie Smooth",55,40,800,15,5,5,4,3,4,4,4,False,5
"Australian Cattle Dog/Dalmatian",49,21,700,14,5,5,5,4,3,4,4,False,4
"Australian Cattle Dog/Golden Retriever",49,21,1300,14,5,5,5,4,3,4,3,False,4
"Australian Cattle Dog/Parson Russell Terrier",25,29,550,15,4,5,4,4,2,2,3,False,5
"Australian Cattle Dog/Queensland Heeler",35,20,600,15,5,5,5,3,3,3,3,False,5
"Australian Cattle Dog/Rat Terrier",30,19,550,16,5,5,4,4,3,3,3,False,5
"Australian Cattle Dog/Rhod Ridgeback",60,43,900,13,5,4,5,3,2,2,2,False,3
"Australian Kelpie/Alaskan Husky",68,22,650,16,3,4,3,5,2,4,3,False,3
"Australian Kelpie/American Pit Bull Terrier",55,21,650,14,2,3,3,5,2,2,2,False,5
"Australian Kelpie/Chihuahua Shorthair",26,15,700,16,2,4,3,5,4,3,2,False,4
"Australian Kelpie/Chinese Sharpei",49,35,1050,12,2,4,4,4,3,2,2,False,4
"Australian Kelpie/Finnish Spitz",37,20,650,14,3,4,4,4,3,3,3,False,4
"Australian Kelpie/Shiba Inu",31,31,800,14,3,3,3,4,2,3,3,False,5
"Australian Kelpie/Whippet",38,38,900,14,3,4,3,4,2,3,2,False,3
"Australian Shepherd/Alaskan Malamute",75,23,1050,15,4,3,3,4,2,2,4,False,5
"Australian Shepherd/Australian Kelpie",57,21,600,14,4,5,4,5,3,3,3,False,5
"Australian Shepherd/Beagle",46,19,700,15,5,3,4,5,3,4,3,False,3
"Australian Shepherd/Dachshund",50,16,600,15,3,3,4,5,3,2,2,False,5
"Australian Shepherd/English Setter",69,24,500,13,5,4,3,4,3,3,3,False,4
"Australian Shepherd/English Springer Spaniel",58,21,650,14,4,4,4,5,3,4,3,False,4
"Australian Shepherd/Nova Scotia Duck Tolling Retriever",68,23,600,15,5,5,4,5,3,3,3,False,5
"Australian Shepherd/Parson Russell Terrier",41,30,550,15,4,5,4,5,2,2,3,False,5
"Australian Shepherd/Pit Bull",66,22,650,14,3,3,3,5,2,2,2,False,5
"Australian Shepherd/Rhod Ridgeback",76,44,900,13,5,4,4,4,2,2,2,False,3
"Australian Shepherd/Siberian Husky",64,23,800,15,5,3,4,5,2,4,4,False,3
"Basenji/Jack Russell Terrier",21,15,1100,16,2,3,5,4,1,1,2,False,5
"Basset Hound/Beauceron",87,21,1000,12,4,4,4,4,3,3,3,False,3
"Basset Hound/Dachshund",53,12,550,13,3,2,3,5,4,3,2,False,3
"Basset Hound/English Cocker Spaniel",54,16,1000,13,5,4,3,5,4,5,3,False,3
"Basset Hound/English Pointer",75,21,375,13,5,3,3,5,3,5,3,False,3
"Basset Hound/Pit Bull",70,18,600,13,3,2,3,5,3,3,2,False,3
"Basset Hound/Pointer",75,21,375,13,5,3,3,5,3,5,3,False,3
"Beagle/American Staffordshire Terrier",56,17,850,13,3,2,3,5,2,3,2,False,3
"Beagle/Australian Kelpie",35,18,700,14,4,3,4,5,3,4,3,False,3
"Beagle/Black Mouth Cur",60,20,575,15,4,2,3,4,3,4,3,False,2
"Beagle/Boston Terrier",25,16,800,15,5,2,3,5,4,5,2,False,2
"Beagle/Cavalier Span",21,14,1150,14,4,3,4,5,3,5,3,False,1
"Beagle/Chinese Sharpei",38,33,1150,13,3,2,4,4,3,3,2,False,2
"Beagle/Manchester Terrier",23,29,725,15,4,2,4,5,3,4,3,False,3
"Beagle/Pembroke Welsh Corgi",25,14,700,14,5,3,4,5,4,4,4,False,3
"Beagle/Queensland Heeler",30,18,700,15,5,3,4,4,3,4,3,False,3
"Beagle/Staffordshire",30,28,1300,14,4,2,4,4,2,3,3,False,2
"Beagle/Treeing Walker Coonhound",46,42,700,14,4,2,3,4,2,4,3,False,1
"Beagle/Whippet",27,36,1000,15,4,2,3,4,2,4,2,False,1
"Belgian Malinois/Australian Shepherd",67,24,650,14,4,5,4,5,4,3,3,False,5
"Belgian Sheepdog",50,25,800,14,3,3,4,4,3,3,3,False,3
"Belgian Tervuren/German Shepherd",88,26,1500,10,5,5,5,5,3,2,5,False,5
"Bernese Mountain Dog/Rottweiler",119,27,1500,9,2,3,4,3,3,2,3,False,5
"Bichon Frise/Miniature Poodle",15,36,1050,15,2,4,4,5,4,4,1,True,4
"Black Mouth Cur/American Staffordshire Terrier",91,21,625,14,2,2,3,4,2,2,2,False,4
"Black Mouth Cur/Basset Hound",85,20,425,14,4,3,3,4,4,4,3,False,2
"Black Mouth Cur/Mastiff",132,30,925,14,4,3,3,4,4,3,3,False,4
"Black Mouth Cur/Staffordshire",65,33,1075,15,3,2,3,3,2,2,3,False,3
"Black/Tan Hound/German Shepherd",49,21,600,14,3,3,3,3,3,3,3,False,2
"Black/Tan Hound/Labrador Retriever",49,21,600,14,3,3,3,3,3,3,3,False,2
"Blue Lacy/Beagle",35,18,875,14,4,2,3,4,3,4,3,False,2
"Blue Lacy/Collie Smooth",60,41,975,14,4,4,3,3,4,4,4,False,4
"Blue Lacy/Great Dane",87,26,1075,13,3,3,3,3,3,3,3,False,4
"Blue Lacy/Labrador Retriever",62,23,975,13,4,4,4,4,3,4,3,False,3
"Bluetick Hound",50,25,800,14,3,3,4,4,3,3,3,False,3
"Bluetick Hound/Treeing Walker Coonhound",68,69,600,13,4,2,3,3,1,3,3,False,1
"Boerboel",175,28,1700,12,3,3,3,3,3,3,3,False,3
"Border Collie/Alaskan Husky",67,23,700,17,4,4,4,5,2,4,3,False,3
"Border Collie/Anatol Shepherd",82,26,800,15,4,3,4,3,2,2,3,False,5
"Border Collie/Canaan Dog",44,22,850,15,5,4,4,5,2,2,3,False,5
"Border Collie/Doberman Pinsch",71,18,850,15,4,5,5,5,3,2,3,False,5
"Border Collie/English Pointer",59,25,475,15,5,4,4,5,2,4,3,False,5
"Border Collie/Great Dane",86,27,950,14,4,4,4,4,3,3,3,False,5
"Border Collie/Greyhound",66,25,825,14,5,4,4,5,2,4,3,False,3
"Border Collie/Mastiff",106,29,1100,14,5,4,4,5,4,3,3,False,5
"Border Collie/Plott Hound",49,40,500,15,4,4,4,4,2,3,3,False,5
"Border Collie/Queensland Heeler",39,21,650,15,5,5,5,4,3,3,3,False,5
"Border Collie/Rottweiler",86,24,1350,13,3,4,5,4,3,2,3,False,5
"Border Collie/Shetland Sheepdog",35,19,700,14,4,5,5,5,4,3,3,False,5
"Border Collie/Standard Schnauzer",44,36,1100,15,4,5,4,4,3,3,2,False,5
"Border Collie/Whippet",37,39,950,15,4,4,4,4,2,3,2,False,3
"Border Terrier/Affenpinscher",14,14,750,14,3,4,3,3,2,2,1,True,5
"Border Terrier/Bruss Griffon",13,18,900,15,3,3,4,4,3,3,1,True,4
"Border Terrier/Cardigan Welsh Corgi",24,14,1100,15,5,5,4,5,3,2,3,False,5
"Border Terrier/Chihuahua Longhair",10,13,900,16,3,4,3,5,3,2,1,False,4
"Border Terrier/Dachshund",23,12,800,15,3,3,4,5,2,2,1,False,5
"Border Terrier/Dachshund Wirehair",23,12,800,15,3,3,4,5,2,2,1,False,5
"Border Terrier/Labrador Retriever",47,20,1000,14,5,5,4,5,3,3,2,False,4
"Border Terrier/Miniature Poodle",12,38,1250,15,3,5,4,5,3,3,1,True,5
"Border Terrier/Miniature Schnauzer",17,15,1000,15,4,5,4,5,2,2,1,True,5
"Border Terrier/Pug",16,22,700,15,4,4,4,5,3,3,2,False,4
"Border Terrier/Rat Terrier",20,17,750,16,5,5,4,5,3,3,2,False,5
"Border Terrier/Shih Tzu",15,22,1100,15,3,4,3,5,3,3,1,True,4
"Border Terrier/Soft Coated Wheaten Terrier",27,32,950,15,4,4,4,5,2,3,1,True,5
"Border Terrier/West Highland",17,16,1100,15,4,4,4,4,2,3,1,True,5
"Boston Terrier/Beagle",25,16,800,15,5,2,3,5,4,5,2,False,2
"Boston Terrier/Labrador Retriever",52,21,900,14,5,4,4,5,4,5,2,False,3
"Boston Terrier/Pit Bull",45,19,750,14,3,2,3,5,3,3,1,False,4
"Boxer/Akita",79,25,1100,13,3,3,4,4,3,2,4,False,5
"Boxer/American Pit Bull Terrier",62,23,950,13,2,2,3,4,2,1,2,False,5
"Boxer/Boston Terrier",42,20,1000,13,4,3,3,4,4,3,2,False,4
"Boxer/Bulldog",54,20,1600,12,4,3,3,4,4,3,3,False,5
"Boxer/Chow Chow",64,23,1200,13,2,2,3,3,2,1,4,False,4
"Boxer/German Shepherd",73,25,1350,11,4,4,4,4,3,2,4,False,5
"Boxer/Harrier",62,22,800,13,4,3,3,3,2,3,3,False,3
"Boxer/Jack Russell Terrier",38,19,1100,14,3,4,4,4,2,1,3,False,5
"Boxer/Mastiff",114,30,1350,12,4,3,3,4,4,2,3,False,5
"Boxer/Neapolitan Mastiff",104,47,1600,11,3,3,3,3,3,1,3,False,5
"Boxer/Redbone Hound",63,46,1000,12,4,3,3,4,2,3,2,False,3
"Boykin Span/Dachshund",32,9,600,15,2,2,4,5,3,2,1,False,5
"Brittany/Chihuahua Shorthair",22,15,800,16,3,4,4,5,4,4,1,False,3
"Bruss Griffon",11,20,800,15,1,2,5,4,5,4,1,True,4
"Bruss Griffon/Cairn Terrier",14,16,900,15,2,2,4,3,4,3,2,True,4
"Bruss Griffon/Dachshund",21,14,700,15,1,2,4,4,4,3,1,False,4
"Bruss Griffon/Yorkshire Terrier",9,14,750,15,1,2,4,4,4,3,2,True,4
"Bull Terrier/Australian Kelpie",65,37,1050,14,3,3,4,4,2,2,3,False,5
"Bull Terrier/Boxer",72,39,1350,13,3,2,4,4,2,2,3,False,5
"Bull Terrier/Jack Russell Terrier",51,34,1250,15,3,3,4,4,1,1,3,False,5
"Bull Terrier/Pit Bull",75,38,1100,14,2,2,3,4,1,1,2,False,5
"Bulldog",50,16,2000,12,5,3,3,5,5,5,3,True,5
"Bulldog/Boston Terrier",37,16,1400,13,5,3,3,5,5,5,2,False,4
"Bulldog/Pit Bull",57,19,1350,13,3,2,3,5,3,3,2,False,5
"Bullmastiff/Boxer",94,25,1350,11,3,3,3,3,2,1,3,False,5
"Cairn Terrier/Affenpinscher",15,12,750,14,2,3,3,2,3,3,2,True,5
"Cairn Terrier/Miniature Poodle",13,36,1250,15,3,4,4,4,3,3,2,True,5
"Cairn Terrier/Scottish Terrier",19,20,950,15,3,2,4,3,3,3,2,True,5
"Cairn Terrier/Shih Tzu",16,20,1100,15,3,3,3,4,4,4,2,True,4
"Canaan Dog/Redbone Hound",56,45,900,13,5,3,3,5,2,3,2,False,3
"Cane Corso/Mastiff",169,36,1500,12,5,3,3,5,5,3,3,False,5
"Cardigan Welsh Corgi/Australian Kelpie",39,16,900,14,4,5,4,5,4,3,4,False,5
"Cardigan Welsh Corgi/Cairn Terrier",25,13,1100,15,4,4,4,4,4,3,4,False,5
"Cardigan Welsh Corgi/Cardigan Welsh Corgi",33,13,1200,15,5,5,5,5,5,3,5,False,5
"Cardigan Welsh Corgi/Chihuahua Longhair",19,11,1000,16,3,4,4,5,5,3,3,False,4
"Cardigan Welsh Corgi/English Setter",51,19,800,13,5,4,4,4,4,3,4,False,4
"Cardigan Welsh Corgi/Jack Russell Terrier",25,13,1100,15,4,5,5,5,3,2,4,False,5
"Cardigan Welsh Corgi/Miniature Pinscher",22,20,900,15,4,4,5,4,4,2,3,False,4
"Cardigan Welsh Corgi/Pit Bull",49,17,950,14,3,3,4,5,3,2,3,False,5
"Cardigan Welsh Corgi/Rat Terrier",29,15,850,16,5,5,4,5,4,3,4,False,5
"Carolina Dog/Pit Bull",65,23,825,14,2,2,3,4,2,2,2,False,4
"Catahoula/American Bulldog",100,47,725,14,3,3,3,3,3,2,3,False,4
"Catahoula/American Pit Bull Terrier",73,22,625,14,2,2,3,4,2,1,2,False,5
"Catahoula/Australian Shepherd",74,23,575,14,4,4,4,4,3,2,3,False,5
"Catahoula/Black Mouth Cur",88,24,450,15,3,3,3,3,3,2,3,False,4
"Catahoula/Border Collie",62,22,625,15,4,4,4,4,3,2,3,False,5
"Catahoula/Bulldog",65,19,1275,13,4,3,3,4,4,3,3,False,5
"Catahoula/Chow Chow",75,22,875,14,2,2,3,2,2,1,4,False,4
"Catahoula/Rottweiler",105,25,1275,12,2,3,4,3,3,1,3,False,5
"Catahoula/Staffordshire",58,32,1175,14,3,2,4,3,2,2,3,False,4
"Catahoula/Whippet",55,39,875,14,3,3,3,3,2,2,2,False,3
"Cavalier Span/Jack Russell Terrier",17,13,1250,15,3,4,4,5,2,3,3,False,3
"Cavalier Span/Papillon",14,12,1000,14,4,3,4,5,2,3,2,False,3
"Chesa Bay Retr",50,25,800,14,3,3,4,4,3,3,3,False,3
"Chihuahua Longhair/Italian Greyhound",10,12,750,16,1,2,3,5,4,3,1,False,4
"Chihuahua Longhair/Pug",11,19,600,16,2,3,3,5,5,4,2,False,4
